Model,MAPE,RMSE,R2,MAPE_pct
Baseline XGBoost (CV),0.18934188626870946,929229.2145827148,0.871603806239774,18.93
Stacked Ensemble (Test),0.13213370090043253,789503.6161535917,0.9274765633536569,13.21
