Property_Type,Count,MAPE,RMSE,R2
Land,4212,0.2496198231429833,1773728.4634276999,0.905751271838806
Unit,66365,0.12434397895424558,607912.2551049518,0.9162260831082153
Villa,8465,0.13158849512859874,1083973.5430358038,0.8509251014019776
